Author file,date
53_Scott Alexander-Bown: app/src/main/res/drawable-hdpi/ic_info_outline_white_36dp.png,2021-05-08T14:18:37Z
54_Scott Alexander-Bown: app/src/main/res/drawable-hdpi/ic_lock_open_white_24dp.png,2021-05-08T14:18:37Z
55_Scott Alexander-Bown: app/src/main/res/drawable-mdpi/ic_info_outline_white_18dp.png,2021-05-08T14:18:37Z
56_Scott Alexander-Bown: app/src/main/res/drawable-mdpi/ic_info_outline_white_24dp.png,2021-05-08T14:18:37Z
57_Scott Alexander-Bown: app/src/main/res/drawable-mdpi/ic_info_outline_white_36dp.png,2021-05-08T14:18:37Z
58_Scott Alexander-Bown: app/src/main/res/drawable-mdpi/ic_lock_open_white_24dp.png,2021-05-08T14:18:37Z
59_Scott Alexander-Bown: app/src/main/res/drawable-xhdpi/ic_cross_red_24dp.png,2021-05-08T14:18:37Z
60_Scott Alexander-Bown: app/src/main/res/drawable-xhdpi/ic_info_outline_white_18dp.png,2021-05-08T14:18:37Z
61_Scott Alexander-Bown: app/src/main/res/drawable-xhdpi/ic_info_outline_white_24dp.png,2021-05-08T14:18:37Z
62_Scott Alexander-Bown: app/src/main/res/drawable-xhdpi/ic_info_outline_white_36dp.png,2021-05-08T14:18:37Z
63_Scott Alexander-Bown: app/src/main/res/drawable-xhdpi/ic_lock_open_white_24dp.png,2021-05-08T14:18:37Z
64_Scott Alexander-Bown: app/src/main/res/drawable-xhdpi/ic_tick_green_24dp.png,2021-05-08T14:18:37Z
65_Scott Alexander-Bown: app/src/main/res/drawable-xxhdpi/ic_info_outline_white_18dp.png,2021-05-08T14:18:37Z
66_Scott Alexander-Bown: app/src/main/res/drawable-xxhdpi/ic_info_outline_white_24dp.png,2021-05-08T14:18:37Z
67_Scott Alexander-Bown: app/src/main/res/drawable-xxhdpi/ic_info_outline_white_36dp.png,2021-05-08T14:18:37Z
68_Scott Alexander-Bown: app/src/main/res/drawable-xxhdpi/ic_lock_open_white_24dp.png,2021-05-08T14:18:37Z
69_Scott Alexander-Bown: app/src/main/res/drawable-xxxhdpi/ic_info_outline_white_18dp.png,2021-05-08T14:18:37Z
70_Scott Alexander-Bown: app/src/main/res/drawable-xxxhdpi/ic_info_outline_white_24dp.png,2021-05-08T14:18:37Z
71_Scott Alexander-Bown: app/src/main/res/drawable-xxxhdpi/ic_info_outline_white_36dp.png,2021-05-08T14:18:37Z
72_Scott Alexander-Bown: app/src/main/res/drawable-xxxhdpi/ic_lock_open_white_24dp.png,2021-05-08T14:18:37Z
73_Scott Alexander-Bown: app/src/main/res/drawable/ic_check_circle_green_24dp.xml,2021-05-08T14:18:37Z
74_Scott Alexander-Bown: app/src/main/res/drawable/ic_error_circle_outline_red_24dp.xml,2021-05-08T14:18:37Z
75_Scott Alexander-Bown: app/src/main/res/drawable/ic_info_outline_white_24dp.xml,2021-05-08T14:18:37Z
76_Scott Alexander-Bown: app/src/main/res/drawable/ic_lock_open_white_24dp.xml,2021-05-08T14:18:37Z
77_Scott Alexander-Bown: app/src/main/res/drawable/pint_glass.png,2021-05-08T14:18:37Z
78_Scott Alexander-Bown: app/src/main/res/layout/activity_main.xml,2021-05-08T14:18:37Z
79_Scott Alexander-Bown: app/src/main/res/layout/content_main.xml,2021-05-08T14:18:37Z
80_Scott Alexander-Bown: app/src/main/res/layout/item_root_check.xml,2021-05-08T14:18:37Z
81_Scott Alexander-Bown: app/src/main/res/menu/menu_main.xml,2021-05-08T14:18:37Z
82_Scott Alexander-Bown: app/src/main/res/values-w820dp/dimens.xml,2021-05-08T14:18:37Z
83_Scott Alexander-Bown: app/src/main/res/values/attrs.xml,2021-05-08T14:18:37Z
84_Scott Alexander-Bown: app/src/main/res/values/dimens.xml,2021-05-08T14:18:37Z
85_Scott Alexander-Bown: app/src/main/res/values/strings.xml,2021-05-08T14:18:37Z
86_Scott Alexander-Bown: rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,2021-05-08T14:18:37Z
87_Scott Alexander-Bown: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,2021-05-08T14:18:37Z
88_Scott Alexander-Bown: rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,2021-05-08T14:18:37Z
89_Scott Alexander-Bown: rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,2021-05-08T14:18:37Z
90_Stefan M: rootbeerlib/src/main/res/values/strings.xml,2020-07-22T11:25:49Z
91_Slim Namouchi: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2020-07-21T13:19:44Z
92_Matthew Rollings: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2020-07-21T13:10:44Z
93_Roberto Gonzalez: rootbeerlib/src/main/jni/Android.mk,2020-07-17T08:05:44Z
94_Fi5t: rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,2020-07-15T20:47:49Z
95_Deepak PK: app/src/main/AndroidManifest.xml,2020-03-11T09:28:40Z
96_Deepak PK: app/src/main/res/layout/activity_main.xml,2020-03-11T09:28:40Z
97_Matthew Rollings: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2020-02-07T14:44:11Z
98_Matthew Rollings: rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,2020-02-07T14:44:11Z
99_Matthew Rollings: rootbeerlib/src/main/jniLibs/arm64-v8a/libtool-checker.so,2020-02-07T14:44:11Z
100_Matthew Rollings: rootbeerlib/src/main/jniLibs/armeabi-v7a/libtool-checker.so,2020-02-07T14:44:11Z
101_Matthew Rollings: rootbeerlib/src/main/jniLibs/x86/libtool-checker.so,2020-02-07T14:44:11Z
102_Matthew Rollings: rootbeerlib/src/main/jniLibs/x86_64/libtool-checker.so,2020-02-07T14:44:11Z
103_mat: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2020-02-07T09:43:09Z
104_mat: rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,2020-02-07T09:43:09Z
105_mat: rootbeerlib/src/main/jniLibs/arm64-v8a/libtool-checker.so,2020-02-04T13:41:34Z
106_mat: rootbeerlib/src/main/jniLibs/armeabi-v7a/libtool-checker.so,2020-02-04T13:41:34Z
107_mat: rootbeerlib/src/main/jniLibs/x86/libtool-checker.so,2020-02-04T13:41:34Z
108_mat: rootbeerlib/src/main/jniLibs/x86_64/libtool-checker.so,2020-02-04T13:41:34Z
109_Matthew Rollings: app/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,2020-02-03T20:42:40Z
110_Matthew Rollings: app/src/main/AndroidManifest.xml,2020-02-03T20:42:40Z
111_Matthew Rollings: app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,2020-02-03T20:42:40Z
112_Matthew Rollings: app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,2020-02-03T20:42:40Z
113_Matthew Rollings: app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,2020-02-03T20:42:40Z
114_Matthew Rollings: app/src/main/res/layout/activity_main.xml,2020-02-03T20:42:40Z
115_Matthew Rollings: app/src/main/res/values/styles.xml,2020-02-03T20:42:40Z
116_Matthew Rollings: rootbeerlib/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,2020-02-03T20:42:40Z
117_Matthew Rollings: rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,2020-02-03T20:42:40Z
118_Matthew Rollings: rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,2020-02-03T20:42:27Z
119_Daniel Kutik: rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,2020-01-31T00:54:28Z
120_Daniel Kutik: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2020-01-31T00:54:28Z
121_Daniel Kutik: rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,2020-01-31T00:54:28Z
122_Matthew Rollings: rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,2020-01-30T16:17:56Z
123_mat: rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,2020-01-30T16:12:36Z
